王五	10001	10001	100000000100000001	17810000001							
杨雁茜	10002	10002	100000000100000002	17810000002							
唐聪	10003	10003	100000000100000003	17810000003							
张雪丰	10004	10004	100000000100000004	17810000004							
刘峰	10005	10005	100000000100000005	17810000005							
张元一	10006	10006	100000000100000006	17810000006							
雷亚瑗	10007	10007	100000000100000007	17810000007							
汤辉	10008	10008	100000000100000008	17810000008							
韦菁瑗	10009	10009	100000000100000009	17810000009							
傅杰红	10010	10010	100000000100000010	17810000010							
韦彪中	10011	10011	100000000100000011	17810000011							
卞欢茂	10012	10012	100000000100000012	17810000012							
尹凝盛	10013	10013	100000000100000013	17810000013							
葛君昭	10014	10014	100000000100000014	17810000014							
顾达	10015	10015	100000000100000015	17810000015							
葛姣	10016	10016	100000000100000016	17810000016							
柳超成	10017	10017	100000000100000017	17810000017							
苏雁滢	10018	10018	100000000100000018	17810000018							
韦致学	10019	10019	100000000100000019	17810000019							
廉芸俊	10020	10020	100000000100000020	17810000020							
花友梁	10021	10021	100000000100000021	17810000021							
韦风春	10022	10022	100000000100000022	17810000022							
倪策弘	10023	10023	100000000100000023	17810000023							
安伊良	10024	10024	100000000100000024	17810000024							
廉哲	10025	10025	100000000100000025	17810000025							
曹承香	10026	10026	100000000100000026	17810000026							
韦莎	10027	10027	100000000100000027	17810000027							
贺成辉	10028	10028	100000000100000028	17810000028							
方融	10029	10029	100000000100000029	17810000029							
吕震	10030	10030	100000000100000030	17810000030							
岑坚	10031	10031	100000000100000031	17810000031							
袁琦	10032	10032	100000000100000032	17810000032							
钱群珠	10033	10033	100000000100000033	17810000033							
华波	10034	10034	100000000100000034	17810000034							
鲁蓓青	10035	10035	100000000100000035	17810000035							
汤哲	10036	10036	100000000100000036	17810000036							
杨桂	10037	10037	100000000100000037	17810000037							
郑琴	10038	10038	100000000100000038	17810000038							
袁娴轮	10039	10039	100000000100000039	17810000039							
严腾翔	10040	10040	100000000100000040	17810000040							
滕怡	10041	10041	100000000100000041	17810000041							
和明	10042	10042	100000000100000042	17810000042							
贺安	10043	10043	100000000100000043	17810000043							
朱娴	10044	10044	100000000100000044	17810000044							
尹娣美	10045	10045	100000000100000045	17810000045							
方若	10046	10046	100000000100000046	17810000046							
潘雁丹	10047	10047	100000000100000047	17810000047							
孙燕寒	10048	10048	100000000100000048	17810000048							
殷鸣琦	10049	10049	100000000100000049	17810000049							
李心	10050	10050	100000000100000050	17810000050							
皮欢	10051	10051	100000000100000051	17810000051							
云倩	10052	10052	100000000100000052	17810000052							
傅颖	10053	10053	100000000100000053	17810000053							
金宁	10054	10054	100000000100000054	17810000054							
李莉	10055	10055	100000000100000055	17810000055							
潘茂启	10056	10056	100000000100000056	17810000056							
朱嘉琬	10057	10057	100000000100000057	17810000057							
常元宁	10058	10058	100000000100000058	17810000058							
蒋叶哲	10059	10059	100000000100000059	17810000059							
蒋蓓	10060	10060	100000000100000060	17810000060							
萧芬燕	10061	10061	100000000100000061	17810000061							
皮晨	10062	10062	100000000100000062	17810000062							
雷眉琳	10063	10063	100000000100000063	17810000063							
沈媛贞	10064	10064	100000000100000064	17810000064							
俞杰	10065	10065	100000000100000065	17810000065							
卫朋	10066	10066	100000000100000066	17810000066							
吴美莎	10067	10067	100000000100000067	17810000067							
苏影	10068	10068	100000000100000068	17810000068							
